mes;quantidadeProduto;grupoAcompanhamento;grupoBebida;grupoSanduiche;grupoMilkShake;grupoPrato;grupoAdicional;grupoBrinde;grupoItensComposicao
2010/01/01;13722.0000;1145;4229;1735;6295;0;318;0;0
2010/02/01;11017.0000;495;3259;1711;5320;0;232;0;0
2010/03/01;13516.0000;533;3480;1834;4695;0;2974;0;0
2010/04/01;13860.0000;474;3549;1759;4120;0;3958;0;0
2010/05/01;12383.0000;519;3500;2026;4118;0;2220;0;0
2010/06/01;9521.0000;477;3058;1345;3207;0;1434;0;0
2010/07/01;13627.0000;596;3539;2636;5105;2;1749;0;0
2010/08/01;9465.0000;574;2234;1939;3274;3;1441;0;0
2010/09/01;8923.0000;513;2562;1700;3058;1;1089;0;0
2010/10/01;15041.0000;829;4791;3108;4639;6;1668;0;0
2010/11/01;12616.0000;811;4398;2552;3909;3;943;0;0
2010/12/01;16251.0000;1106;5892;3326;4747;2;1178;0;0
2011/01/01;17369.0000;1174;5676;3640;6243;5;631;0;0
2011/02/01;12521.0000;1032;4233;2723;4040;6;487;0;0
2011/03/01;13967.0000;1373;4485;3155;4452;5;497;0;0
2011/04/01;14435.0000;1372;4501;3335;4001;2;1224;0;0
2011/05/01;13305.0000;1436;4005;2918;4125;3;818;0;0
2011/06/01;14210.0000;1469;4533;2942;4601;2;663;0;0
2011/07/01;13444.0000;1086;4659;2356;4588;1;754;0;0
2011/08/01;14317.0000;946;4474;2747;5199;4;947;0;0
2011/09/01;12325.0000;729;3938;2158;4884;7;609;0;0
2011/10/01;16328.0000;907;4862;2396;7063;4;1096;0;0
2011/11/01;15891.0000;740;4419;2925;6169;7;1631;0;0
2011/12/01;23415.0000;1013;6492;5387;8166;3;2354;0;0
2012/01/01;18803.0000;976;4956;3599;8102;1;1169;0;0
2012/02/01;11272.0000;474;2715;1592;5324;1;1166;0;0
2012/03/01;14847.0000;1414;4480;3455;4655;1;842;0;0
2012/04/01;14920.0000;1627;4678;3762;4299;1;553;0;0
2012/05/01;12828.0000;955;4475;2540;4228;2;628;0;0
2012/06/01;11900.0000;809;4183;2378;3915;3;612;0;0
2012/07/01;13320.0000;900;4651;2375;4690;1;703;0;0
2012/08/01;12513.0000;959;3884;1869;4163;3;1635;0;0
2012/09/01;11319.0000;759;3444;1630;4256;1;1229;0;0
2012/10/01;12476.0000;878;3742;1981;4868;0;1007;0;0
2012/11/01;14564.0000;933;3949;2301;5694;0;1687;0;0
2012/12/01;23091.0000;2795;6674;3631;8311;4;1676;0;0
2013/01/01;18159.0000;2322;5336;2964;6973;0;564;0;0
2013/02/01;14877.0000;1810;4341;2502;5507;0;717;0;0
2013/03/01;16561.0000;1799;5060;2845;5782;0;1075;0;0
2013/04/01;13775.0000;1448;4088;2207;5128;0;904;0;0
2013/05/01;16176.0000;1944;5102;2585;5558;0;987;0;0
2013/06/01;13300.0000;1826;4275;2094;4301;0;804;0;0
2013/07/01;15909.0000;2047;5169;2677;5488;0;528;0;0
2013/08/01;13659.0000;1611;3915;1807;5456;0;870;0;0
2013/09/01;10108.0000;1501;2601;1184;4368;0;454;0;0
2013/10/01;11375.0000;1915;3379;1590;4067;0;320;104;0
2013/11/01;12733.0000;1953;3692;1947;4178;4;321;638;0
2013/12/01;18818.0000;3156;5622;3387;5384;22;313;934;0
2014/01/01;15160.0000;2414;4545;2539;4691;16;218;737;0
2014/02/01;12997.0000;2040;3790;2153;4121;8;409;476;0
2014/03/01;12129.0000;2092;3957;1993;3166;12;268;641;0
2014/04/01;12244.0000;2366;3727;2120;3113;10;309;599;0
2014/05/01;12606.0000;2632;3587;2342;3104;3;207;731;0
2014/06/01;11712.0000;2615;3233;2416;2391;8;450;599;0
2014/07/01;13002.0000;2897;3412;2634;2446;13;926;674;0
2014/08/01;14831.0000;3102;3658;2892;3676;17;835;651;0
2014/09/01;19130.0000;4106;4772;3812;4998;19;540;883;0
2014/10/01;22935.0000;5032;5403;4766;6460;17;364;893;0
2014/11/01;24303.0000;5603;5950;5389;5851;25;366;1119;0
2014/12/01;27154.0000;7667;8353;7025;2867;34;275;933;0
2015/01/01;20551.0000;4978;6027;4476;4686;8;341;35;0
2015/02/01;16273.0000;3737;4649;3320;4350;5;197;15;0
2015/03/01;17024.0000;4019;4837;3297;4094;13;340;424;0
2015/04/01;19267.0000;4602;5655;3641;4015;14;415;925;0
2015/05/01;22646.0000;5209;6160;4021;5120;24;963;1149;0
2015/06/01;17031.0000;3450;3886;2730;5196;7;1405;357;0
2015/07/01;19238.0000;3878;4439;3291;5392;8;1084;1146;0
2015/08/01;15512.0000;2892;3324;2406;4791;8;1345;746;0
2015/09/01;15500.0000;2560;2920;2175;5675;11;1517;642;0
2015/10/01;15579.0000;3091;3286;2688;5132;12;538;832;0
