mes;venda
01/01/2010;96927.890000
01/02/2010;76471.560000
01/03/2010;79793.150000
01/04/2010;76439.100000
01/05/2010;78011.350000
01/06/2010;65728.250000
01/07/2010;83759.250000
01/08/2010;52914.800000
01/09/2010;53443.200000
01/10/2010;102033.550000
01/11/2010;90379.900000
01/12/2010;120550.700000
01/01/2011;119549.150000
01/02/2011;443462.790000
01/03/2011;424235.530000
01/04/2011;357471.410000
01/05/2011;387277.930000
01/06/2011;381015.380000
01/07/2011;392346.700000
01/08/2011;420736.660000
01/09/2011;423125.020000
01/10/2011;457146.450000
01/11/2011;449190.880000
01/12/2011;531589.540000
01/01/2012;509044.010000
01/02/2012;419714.190000
01/03/2012;455123.020000
01/04/2012;433565.120000
01/05/2012;442348.540000
01/06/2012;411015.430000
01/07/2012;452339.320000
01/08/2012;430103.830000
01/09/2012;406227.730000
01/10/2012;439437.230000
01/11/2012;491038.720000
01/12/2012;585137.240000
01/01/2013;539182.080000
01/02/2013;470821.210000
01/03/2013;479516.600000
01/04/2013;452707.340000
01/05/2013;487553.390000
01/06/2013;473313.280000
01/07/2013;583613.080000
01/08/2013;502984.910000
01/09/2013;434283.180000
01/10/2013;480043.008000
01/11/2013;502236.602000
01/12/2013;323916.552500
01/01/2014;265262.488750
01/02/2014;207088.163750
01/03/2014;221782.115000
01/04/2014;203266.738750
01/05/2014;189297.381250
01/06/2014;190360.513750
01/07/2014;190607.744500
01/08/2014;209055.964000
01/09/2014;224262.813000
01/10/2014;262784.117000
01/11/2014;277435.092000
01/12/2014;313021.940250
01/01/2015;273267.004500
01/02/2015;224575.444000
01/03/2015;206760.532000
01/04/2015;255091.203650
01/05/2015;249965.782950
01/06/2015;188152.791450
01/07/2015;224455.303650
01/08/2015;170937.203400
01/09/2015;148394.009500
01/10/2015;157244.622500
01/11/2015;145131.379250
01/12/2015;212635.697500
01/01/2016;176655.990000
01/02/2016;141473.062500
01/03/2016;137053.534400
01/04/2016;106538.932450
01/05/2016;123328.629200
01/06/2016;112537.563400
01/07/2016;177347.653300
01/08/2016;130747.599800
01/09/2016;122784.146400
01/10/2016;149562.374200
01/11/2016;140027.354500
01/12/2016;201049.199700
01/01/2017;166619.404300
01/02/2017;138880.290400
01/03/2017;152376.522400
01/04/2017;164615.608700
01/05/2017;124614.539800
01/06/2017;97657.100100
01/07/2017;38661.949400
