mes;quantidadeProduto;venda;grupoAcompanhamento;grupoBebida;grupoSanduiche;grupoMilkShake
01/01/2010;137220;96927.89;1145;4229;1735;6295
01/02/2010;110170;76471.56;495;3259;1711;5320
01/03/2010;135160;79793.15;533;3480;1834;4695
01/04/2010;138600;76439.10;474;3549;1759;4120
01/05/2010;123830;78011.35;519;3500;2026;4118
01/06/2010;95210;65728.25;477;3058;1345;3207
01/07/2010;136270;83759.25;596;3539;2636;5105
01/08/2010;94650;52914.80;574;2234;1939;3274
01/09/2010;89230;53443.20;513;2562;1700;3058
01/10/2010;150410;102033.55;829;4791;3108;4639
01/11/2010;126160;90379.90;811;4398;2552;3909
01/12/2010;162510;120550.70;1106;5892;3326;4747
01/01/2011;173690;119537.25;1174;5676;3640;6243
01/02/2011;125210;85285.65;1032;4233;2723;4040
01/03/2011;139670;92079.70;1373;4485;3155;4452
01/04/2011;144350;89131.20;1372;4501;3335;4001
01/05/2011;133050;82329.42;1436;4005;2918;4125
01/06/2011;142100;92357.98;1469;4533;2942;4601
01/07/2011;134440;96985.98;1086;4659;2356;4588
01/08/2011;143170;101313.20;946;4474;2747;5199
01/09/2011;123250;91348.12;729;3938;2158;4884
01/10/2011;163280;114871.35;907;4862;2396;7063
01/11/2011;158910;104866.69;740;4419;2925;6169
01/12/2011;234150;158821.90;1013;6492;5387;8166
01/01/2012;188030;137062.02;976;4956;3599;8102
01/02/2012;112720;79928.09;474;2715;1592;5324
01/03/2012;148470;98811.27;1414;4480;3455;4655
01/04/2012;149200;96778.43;1627;4678;3762;4299
01/05/2012;128280;93839.75;955;4475;2540;4228
01/06/2012;11900;91467.82;809;4183;2378;3915
01/07/2012;133200;101663.25;900;4651;2375;4690
01/08/2012;125130;90917.95;959;3884;1869;4163
01/09/2012;113190;82066.58;759;3444;1630;4256
01/10/2012;124760;91215.34;878;3742;1981;4868
01/11/2012;145640;100127.53;933;3949;2301;5694
01/12/2012;230910;154481.15;2795;6674;3631;8311
01/01/2013;181590;123837.68;2322;5336;2964;6973
01/02/2013;148770;101872.90;1810;4341;2502;5507
01/03/2013;165610;113716.65;1799;5060;2845;5782
01/04/2013;137750;94051.17;1448;4088;2207;5128
01/05/2013;161760;114225.35;1944;5102;2585;5558
01/06/2013;13300;94784.55;1826;4275;2094;4301
01/07/2013;159090;118412.80;2047;5169;2677;5488
01/08/2013;136590;118276.94;1611;3915;1807;5456
01/09/2013;101080;93656.83;1501;2601;1184;4368
01/10/2013;113750;97285.73;1915;3379;1590;4067
01/11/2013;127330;103919.83;1953;3692;1947;4178
01/12/2013;188180;151314.43;3156;5622;3387;5384
01/01/2014;151600;121764.47;2414;4545;2539;4691
01/02/2014;129970;103170.42;2040;3790;2153;4121
01/03/2014;121290;99071.99;2092;3957;1993;3166
01/04/2014;122440;93532.17;2366;3727;2120;3113
01/05/2014;126060;95222.20;2632;3587;2342;3104
01/06/2014;117120;85599.82;2615;3233;2416;2391
01/07/2014;130020;89945.77;2897;3412;2634;2446
01/08/2014;148310;104993.94;3102;3658;2892;3676
01/09/2014;191300;136297.17;4106;4772;3812;4998
01/10/2014;229350;161259.89;5032;5403;4766;6460
01/11/2014;243030;171158.26;5603;5950;5389;5851
01/12/2014;271540;191019.71;7667;8353;7025;2867
01/01/2015;205510;159201.55;4978;6027;4476;4686
01/02/2015;162730;130576.22;3737;4649;3320;4350
01/03/2015;170240;133036.28;4019;4837;3297;4094
01/04/2015;192670;156033.97;4602;5655;3641;4015
01/05/2015;226460;176850.23;5209;6160;4021;5120
01/06/2015;170310;129183.82;3450;3886;2730;5196
01/07/2015;192380;143703.75;3878;4439;3291;5392
01/08/2015;155120;116169.61;2892;3324;2406;4791
01/09/2015;15579;116063.47;2560;2920;2175;5675
01/10/2015;155790;120392.42;3091;3286;2688;5132
01/11/2015;129500;103466.50;2498;2878;2104;4493
01/12/2015;203580;157662.53;4211;4828;3572;5928
01/01/2016;163180;123708.85;3040;3629;2680;5698
01/02/2016;126820;97822.20;2286;2760;1798;4837
01/03/2016;127270;102940.11;2382;2953;1604;4851;
01/04/2016;84520;68026.62;1936;2156;1191;2518;
01/05/2016;118090;91352.46;2567;2498;2063;3770;
01/06/2016;115570;87981.38;2672;2336;2303;3473;
01/07/2016;174260;128444.48;4041;3580;2656;5687
01/08/2016;128660;96767.53;2881;2449;1685;4934
01/09/2016;118710;90449.74;2903;2409;1692;4095
01/10/2016;145980;111651.84;3580;2885;2159;5000
01/11/2016;141140;104192.81;3111;2717;2139;5275
01/12/2016;221400;158231.01;5304;4968;4954;5557
01/01/2017;186530;128699.46;4445;4057;4240;4750
01/02/2017;154970;106121.26;3366;3249;3649;4273
01/03/2017;179730;120687.33;4033;3694;4677;4583
01/04/2017;181250;128699.46;4243;3929;4971;3817
01/05/2017;135590;111651.84;3100;2786;3705;3149
01/06/2017;95710;128699.46;2231;1883;2502;2378
