Date,Open,High,Low,Close,Volume
2017-05-31,943.2,954.18,941.27,950.5,1800465.0
2017-04-30,929.0,935.9,923.22,924.52,3845857.0
2017-03-31,846.83,849.56,845.24,847.8,1440982.0
2017-02-28,847.35,848.83,841.44,844.93,1383119.0
2017-01-31,819.5,823.07,813.4,820.19,2020180.0
2016-12-31,803.21,803.28,789.62,792.45,1735879.0
2016-11-30,789.1,791.51,773.14,775.88,2279054.0
2016-10-31,822.43,822.63,808.0,809.9,2242679.0
2016-09-30,803.6,808.09,801.5,804.06,1660201.0
2016-08-31,789.6,791.57,787.2,789.85,1071420.0
2016-07-31,797.71,803.94,790.0,791.34,5090527.0
2016-06-30,697.65,703.77,694.9,703.53,2112513.0
2016-05-31,748.76,753.48,745.57,748.85,2124248.0
2016-04-30,704.12,712.11,703.78,707.88,2906358.0
2016-03-31,768.34,769.08,758.25,762.9,1623821.0
2016-02-29,721.0,730.6,716.84,717.22,2237474.0
2016-01-31,748.96,765.1,744.2,761.35,3759222.0
2015-12-31,787.82,788.33,777.32,778.01,1637561.0
2015-11-30,771.87,775.03,761.12,762.85,1679349.0
2015-10-31,745.56,746.31,736.53,737.39,1991811.0
2015-09-30,631.83,639.31,629.15,638.37,2647655.0
2015-08-31,654.34,664.41,646.35,647.82,1946844.0
2015-07-31,664.7,665.0,657.2,657.5,1746094.0
2015-06-30,545.09,545.9,539.54,540.04,1725464.0
2015-05-31,553.2,553.94,545.04,545.32,2172282.0
2015-04-30,558.56,561.11,546.72,548.77,2362024.0
2015-03-31,557.94,562.45,554.67,554.7,1746622.0
2015-02-28,558.15,569.42,557.03,562.63,3416445.0
2015-01-31,519.0,543.1,518.18,537.55,6055445.0
2014-12-31,537.74,538.4,530.2,530.66,1236445.0
2014-11-30,547.0,549.6,544.48,549.08,1210061.0
2014-10-31,568.3,568.73,564.81,567.87,2341539.0
2014-09-30,587.49,591.0,584.5,588.41,1571688.0
2014-08-31,582.35,582.9,578.24,582.36,1206884.0
2014-07-31,588.96,591.99,577.68,579.55,2310471.0
2014-06-30,586.76,587.71,583.29,584.67,1479411.0
2014-05-31,571.64,572.58,565.79,571.65,1871737.0
2014-04-30,535.12,536.34,529.09,534.88,2038658.0
2014-03-31,565.77,568.07,556.98,557.81,1942277.0
2014-02-28,610.78,612.71,603.71,608.43,2314596.0
2014-01-31,586.26,593.86,576.14,591.08,5569794.0
2013-12-31,556.68,561.06,553.68,560.92,1358300.0
2013-11-30,531.61,533.84,530.25,530.32,1192773.0
2013-10-31,514.98,521.28,512.5,515.81,1640035.0
2013-09-30,434.97,440.86,434.59,438.39,1723763.0
2013-08-31,428.31,429.45,423.2,423.87,1861554.0
2013-07-31,446.94,448.7,443.53,444.32,2173446.0
2013-06-30,437.89,441.36,437.53,440.62,2350049.0
2013-05-31,434.49,438.94,434.19,436.04,1969857.0
2013-04-30,409.91,414.23,409.25,412.7,2306836.0
2013-03-31,402.4,403.09,397.05,397.49,2287712.0
2013-02-28,400.95,403.9,400.92,401.0,2265874.0
2013-01-31,375.63,379.19,375.5,378.22,1634556.0
2012-12-31,350.35,355.64,348.35,354.04,1997733.0
2012-11-30,346.0,349.96,343.19,349.53,3164441.0
2012-10-31,340.27,340.84,337.84,340.49,1537001.0
2012-09-30,377.45,380.03,375.95,377.63,2784091.0
2012-08-31,342.34,344.63,340.36,342.89,2127125.0
2012-07-31,314.44,318.57,314.42,316.8,1865890.0
2012-06-30,287.77,290.36,286.39,290.33,2522562.0
2012-05-31,294.65,295.29,289.79,290.72,2969455.0
2012-04-30,306.8,308.35,300.6,302.73,2407213.0
2012-03-31,326.2,327.07,320.82,320.94,2312245.0
2012-02-29,309.61,313.11,308.06,309.43,3136837.0
2012-01-31,291.79,292.29,287.86,290.35,2142716.0
2011-12-31,321.33,323.7,321.33,323.27,1782859.0
2011-11-30,299.27,300.05,296.34,299.99,3397279.0
2011-10-31,297.84,300.14,296.13,296.62,2557738.0
2011-09-30,260.37,262.26,257.45,257.78,2724908.0
2011-08-31,272.64,273.42,268.27,270.75,2693390.0
2011-07-31,302.42,307.79,302.15,302.15,4138101.0
2011-06-30,251.25,253.59,251.0,253.44,2428510.0
2011-05-31,262.76,264.79,262.01,264.77,2687858.0
2011-04-30,270.27,272.32,269.52,272.32,4228467.0
2011-03-31,291.79,294.37,291.16,293.67,2031385.0
2011-02-28,305.3,308.55,304.31,307.01,2284336.0
2011-01-31,302.1,302.54,298.07,300.48,2810069.0
2010-12-31,298.67,299.51,296.31,297.28,1541459.0
2010-11-30,287.45,287.45,276.93,278.13,7117385.0
2010-10-31,308.84,309.81,306.8,307.16,2281279.0
2010-09-30,264.84,266.2,259.72,263.16,3244626.0
2010-08-31,225.28,227.66,224.22,225.24,1946998.0
2010-07-31,240.06,243.92,239.81,242.67,2144492.0
2010-06-30,227.71,229.14,222.58,222.7,3603698.0
2010-05-31,246.62,246.97,241.74,243.06,2894755.0
2010-04-30,265.83,269.11,262.98,263.11,2440207.0
2010-03-31,282.81,285.15,281.69,283.84,3030869.0
2010-02-28,263.97,266.14,262.0,263.66,2049372.0
2010-01-31,269.51,270.76,263.07,265.24,4141196.0
2009-12-31,312.69,313.01,310.3,310.3,1220214.0
2009-11-30,290.61,292.13,288.84,291.79,1725231.0
2009-10-31,275.27,275.36,267.39,268.33,3469738.0
2009-09-30,250.25,250.32,243.86,248.17,3141701.0
2009-08-31,230.12,231.16,229.23,231.07,1957955.0
2009-07-31,225.21,226.58,221.44,221.75,2861550.0
2009-06-30,212.21,213.82,209.32,211.01,2594683.0
2009-05-31,206.26,208.83,205.56,208.82,2649405.0
2009-04-30,198.08,202.08,197.6,198.18,4361069.0
2009-03-31,174.64,176.93,173.26,174.2,3658421.0
2009-02-28,166.64,172.08,165.72,169.16,5420892.0
2009-01-31,172.52,174.57,168.17,169.43,4673619.0
2008-12-31,152.25,155.66,151.46,153.98,2887334.0
2008-11-30,145.44,148.37,144.28,146.63,2566368.0
2008-10-31,178.26,186.17,177.31,179.86,7426876.0
2008-09-30,198.2,212.76,196.36,200.46,8824587.0
2008-08-31,235.11,235.74,231.4,231.88,3848198.0
2008-07-31,237.52,240.69,235.96,237.11,2865036.0
2008-06-30,266.51,269.27,261.79,263.47,3765738.0
2008-05-31,292.03,295.25,290.94,293.19,3226189.0
2008-04-30,281.39,292.72,279.51,287.43,7904535.0
2008-03-31,218.04,221.57,216.22,220.46,4446368.0
2008-02-29,236.17,240.11,232.56,235.83,9426116.0
2008-01-31,269.77,286.79,267.41,282.43,14871222.0
2007-12-31,349.63,351.6,345.64,346.09,2376478.0
2007-11-30,355.86,355.89,341.4,346.85,7901777.0
2007-10-31,350.7,353.85,348.37,353.85,6884486.0
2007-09-30,283.78,285.06,282.34,283.92,2639328.0
2007-08-31,256.81,258.51,255.99,257.88,2977506.0
2007-07-31,260.38,260.48,255.25,255.25,4270981.0
2007-06-30,263.27,263.96,259.99,261.61,3881004.0
2007-05-31,250.53,254.64,248.78,249.2,8927564.0
